Sentence,Category (Binary)
"Amid the spiralling Covid-19 cases, Section 144 of CrPC was imposed in 11 districts on Saturday to contain the spread of virus.",0-Pure
Police may take action if five or more people gather at a place.,0-Pure
"The districts where Section 144 have been imposed are Jaipur, Jodhpur, Kota, Ajmer, Alwar, Bhilwara, Bikaner, Udaipur, Sikar, Pali and Nagaur.",0-Pure
The decision has been taken at a meeting chaired by chief minister Ashok Gehlot while reviewing the pandemic situation in the state. ,0-Pure
"However, no new restrictions apart from Section 144, have been imposed.",0-Pure
The existing restrictions would remain in effect.,0-Pure
Social and religious functions will remain banned in the state till October 31.,0-Pure
Only 50 guests will be allowed to take part in marriage ceremonies while 20 people can attend cremation or burial.,0-Pure
"Besides, a war room at the state-level and at district-levels will be established, which will work round the clock.",0-Pure
A helpline 181 will be launched on September 21. ,0-Pure
Any person can call to get information regarding Covid.,0-Pure
Union minister Ravi Shankar Prasad on Sunday inaugurated the newly constructed ‘physical medicine and rehabilitation (PMR) centre’ and ‘in-vitro fertilisation (IVF) centre’ at Indira Gandhi Institute of Medical Sciences (IGIMS) through videoconferencing.,0-Pure
"Speaking on the occasion, the minister vowed to upgrade the institute at par with AIIMS-Patna. “The central government will provide technological help in order to upgrade various superspecialty departments of IGIMS even though the state government is competent enough to do so,” Prasad said. He suggested the institute’s director, N R Biswas, to send a proposal in this regard to the Centre soon.",0-Pure
Prasad said the IVF centre would help couples embrace parenthood and it would soon become a state-of-the-art facility. ,0-Pure
"Ravi said people are now aware that infertility is not incurable. “People will get all information and treatment at the centre,” he added.",0-Pure
"After a bumpy start to the crop production season due to lockdown restrictions and the current spurt increase in Covid positive cases, farmers and experts have mixed reactions to the upcoming harvesting stage.",0-Pure
"While arecanut farmers have felt the brunt of the fungal infections from rains on their crop, grain and horticulture farmers are a little more optimistic about their produce that weathered the season.",1-Septic
"Using equipment like coconut climbers, mechanised harvesters and ensuring social distancing, farmers are readying for the harvest season during the pandemic.",1-Septic
"“The harvest of Rabi crops, besides cashew and mango was successfully done by farmers during the lockdown. Now for paddy they will have to rent harvester machines for the harvesting. One of the perks of mechanised harvesting is that the cost of labour comes down,” director of ICAR-Central Coastal Agricultural Research Institute, EB Chakurkar said.",0-Pure
"Plucking long beans, chilli, cucumber is done manually and farmers get help from their families. However, paddy and tree crops are a challenge. Though many farmers are open to renting machines, it comes with drawbacks.",1-Septic
"“This monsoon season has brought heavy rain which has made the fields difficult to tread in. The harvester can manoeuvre through the paddy fields only if there is a dry spell,” said farmer, Satish Tendulkar.",0-Pure
"Sanjeev Barve, a Valpoi farmer, who is keen on harvesting his arecanut and coconut crop said, “I can purchase the equipment through schemes of the directorate of agriculture. ",0-Pure
"However the machines must be operated by someone. For coconut climbing especially, experience is more important than technology.”",0-Pure
"Farmers are also trying to figure post-harvest tasks without incurring a loss. A Valpoi farmer who annually produces about 3,000 litres of feni was forced to discard the cashews from his farm this year as he didn’t have enough resources and labour for the distillation. “We had a big problem when the lockdown was announced during the peak cashew season. Though things have normalised now, we hope that we are able to market our produce without problems,” he said.",0-Pure
"Chief minister Y S Jaganmohan Reddy will leave for New Delhi on Tuesday. According to the sources in the CMO, Jagan has an appointment scheduled with Union finance minister Nirmala Sitaraman later in the evening.",0-Pure
Sources said the chief minister will be discussing GST devolution and release of funds to the state under Polavaram Project and other schemes. The Centre had stated that it had found bills worth Rs 760 crore pertaining to Polavaram ineligible but had given assurance for clearance of balance funds at the earliest.,1-Septic
The chief minister is also likely to take up issues like CBI probe into AP Fibernet and Amaravati land deals. Jagan is likely to seek appointment with Union home minister Amit Shah and make a personal request for a CBI investigation. Sources also said the CM was planning to meet Lok Sabha speaker Om Birla to renew the party’s request for disciplinary action against rebel MP K Raghurama Krishnam Raju.,1-Septic
The Trichy range police on Monday launched a project called Shield to create safe and violence-free communities for women and children.,0-Pure
"Launched in collaboration with the International Justice Mission (IJM), the project will be implemented in the Trichy range comprising Trichy, Karur, Pudukottai, Perambalur and Ariyalur districts. Inspector general of police, central zone, H M Jayaram launched the project at a function in Trichy.",0-Pure
"The project is the brain-child of deputy inspector general of police (DIG), Trichy range, Annie Vijaya. It will be an eight-month-long project which intends to develop a systematic and evidence-based policing to increase the performance of the police department in combating crimes against women and children.",0-Pure
"“The project is fully scientific based to put an end to crimes against women and children and to ensure them a safe environment. We are going to fight it out united with all the stakeholders,” DIG Annie told reporters.",0-Pure
IJM will coordinate with the Trichy range police for data analysis and provide support in developing a strategy and implementing the same. It will also undertake an endline study on the completion of the project.,0-Pure
The plan is to gather data on crimes against women and children. The data will be analysed to identify the six crimes most frequently committed and the 25 hotspots with highest incidence of crimes.,0-Pure
A strategy of action will be implemented after further fact-finding work on the status of women welfare groups in the region. This will include building capacity and increasing convergence among women and child protection stakeholders and creating awareness on women and child protection mechanisms in hotspot locations.,1-Septic
"Eight opposition members of the Rajya Sabha were suspended for a week on Monday for ""unruly behaviour"" during passage of the two farm bills on Sunday, with Chairman M Venkaiah Naidu also rejecting the notice for a no-confidence resolution against deputy chairman Harivansh.",0-Pure
"The eight MPs, including Trinamool leader Derek O’Brien and Sanjay Singh of the Aam Aadmi Party, however, continued with their protests and refused to leave the House despite repeated instructions from the chair. It led to multiple adjournments, with the proceedings being washed out without any business being transacted on Monday.",0-Pure
"The other MPs are Rajeev Satav, Syed Nasir Hussain and Ripun Bora of Congress, Dola Sen of Trinamool, and K K Ragesh and Elamaram Kareem of CPM. Expressing deep anguish, Naidu said, ""It pained me a lot because what happened (during passage of the farm bills on Sunday) was unfortunate, unacceptable and condemnable. It was a very bad day for the Rajya Sabha.""",0-Pure
"He said some members, violating all Covid-19 physical distancing norms, came to the well of the House, climbed on the secretary general’s table and broke mics, while also hurling papers and the rulebook at the deputy chairperson. ""Are these parliamentary standards?"" he asked.",0-Pure
"While the opposition decided to protest the suspensions and call on President Ram Nath Kovind, this is the second such suspension of a significant number of MPs in recent years. In 2010, seven MPs — four from the Samajwadi Party, one each from JD(U), RJD and LJP — were suspended for fracas during passage of the women's reservation bill. The code of conduct adopted by the House in 2005 lays down several guidelines relating to behaviour of members.",0-Pure
"Naidu said Harivansh later informed him that he was abused with objectionable words, physically threatened and could also have been harmed. ""If the marshals had not been called on time, what would have happened to the deputy chairperson? I am worried,"" he added.",0-Pure
"If the opposition — which wanted voting on a resolution to send the two farm bills to a select committee — had the numbers, they should have voted. The deputy chairman repeatedly requested the members to go to their seats, participate in the debate and move amendments. ""Obviously, in view of the continuous disruption, division could not have taken place,"" Naidu said.",0-Pure
He also rejected the resolution moved by leader of the opposition Ghulam Nabi Azad and 46 other members for Harivansh’s removal because it was not in the proper format and without the requisite 14-day notice.,0-Pure
"Minister of state for parliamentary affairs V Muraleedharan moved a motion for suspension of the eight MPs for gross disorderly conduct, especially with the chair, and ""bringing disrepute"" to the House. It was adopted by voice vote amid continuing protests from the opposition.",0-Pure
"The protesting MPs, however, did not leave the House despite being asked by Naidu to do so. O'Brien, in fact, had earlier in the proceedings also refused to leave the House after Naidu named him.",0-Pure
"Following the railway ministry decision to impose user charge fee on the existing rail ticketing system with a view to increasing its revenue for development work to be carried out at all major railway stations (including Ludhiana), members of several rail unions in the city have raised their voice against the same. They claim that 90% travellers in all trains are from economic weaker sections of society and would not be able to bear the increasing charges on existing ticketing system. So, the railways will have to look for some other option to increase their revenue for conducting development work on the station premises.",0-Pure
"Speaking on this issue, Gaurav Sharma, a local member of Northern Railway Mazdoor Union, said that, “In the name of conducting the much required development work at all major stations of the country, the railway ministry has taken the decision of increasing charges on the existing rail ticketing system in the next few months, which is cause of concern among members of all unions in country as the railway is pressurising middle class families, which mostly travel in trains for reaching their destinations.",0-Pure
"“Members of our union are against the railway ministry decision to go in for privatisation of the railways by signing a contract with a big private firm to manage maintenance works of all stations and reducing involvement of the railway authorities by ending jobs in several departments. The railways give huge employment to lakhs of young people of society every year but with involvement of private companies not only the number of jobs will be reduced, but the salaries of workers will also get cut.”",0-Pure
"Another member of the same union Ashok Kumar said that, “The railways is running private trains on different routes after giving freehand to private companies in restricting the employment rate, which is totally an unfair practice because the railways is a government body and they should not put the fate of lakhs of workers in the hands of private firms.”",0-Pure
"“The railway ministry should take back this decision as it’s against the welfare of common people as the railways is main source of transportation for middle class families and the government should continue to run it as its responsibility instead of allowing private players to enter the management of the department,” he added.",0-Pure
"Prime Minister Narendra Modi on Monday said his government was committed to taking the country’s over six lakh villages into 21st century and, therefore, providing digital infrastructure (optical fibre) to link every village with internet connectivity and increased road communication network.",0-Pure
"The PM said this after launching from Delhi the project to link over 6 lakh villages in the country, including 45,945 in Bihar, with optical fibre, besides laying the foundation stones for nine road and mega bridge projects worth Rs14,260 crore as part of his Rs1.65 lakh crore “PM package” announced for Bihar during electioneering in 2015. It included Rs54,000 crore for the roads – four-laning of national highways and construction of mega bridges.",0-Pure
He said it was only the Atal Bihari Vajpayee led NDA government at the Centre and his own that has stressed on the development of infrastructure in the country.,0-Pure
"Accordingly, coming a day after the passage of the agriculture reform Bills by Parliament on Sunday, PM Modi hailed the launch of the digital infrastructure project to be completed in the country in the next 1,000 days and the laying of foundation stones for the road and bridge projects in Bihar. He called it a “historic day”.",0-Pure
"“The previous governments did not think in totality. They just believed in constructing one road here and one bridge or railway station there. That was their vision with regard to the development of infrastructure,” Modi said.",0-Pure
"“Today, the stress is being given on multi-model connectivity. When the road or any infrastructure is laid, the underlying focus is to link it with ports and airports, besides giving connectivity to the villages, as it will help the farmers to get fast access to markets to sell produce,” he added.",0-Pure
The PM also dwelt at length on the farm Bills and said what the opposition has been saying to the farmers is just “anaap sanaap (nonsense)”.,1-Septic
"Accordingly, he asked the farmers not to get persuaded by them. He also assured them that their right to the possession of land would prevail, while the mandis and the minimum support price (MSP) would also not be done away with.",0-Pure
"Without mentioning the Agriculture Produce Market Committee (APMC) Act, Modi said, “The agriculture reforms Bills had become a necessity to take Bihar into the 21st century. The old laws had kept enchained the hands and feet of the farmers. The powerful people took advantage of them, but now the same powerful people have been eliminated from the scene, as the farmers will be able to assess the market through internet to sell their produce anywhere in the country and get right price.",0-Pure
"He said the agriculture Bills were not against farmers and asked them to constitute farm producers organisations (FPOs) and enter into agreements with the companies to get higher income on the produce. There have been instances of farmers of Madhya Pradesh and Rajasthan getting 20-30% more money on their produce, while those in MP, Chhattisgarh and West Bengal had got 25-30% more money on pulses, he added.",0-Pure
"A webinar on the topic of 'Corona pandemic: scientific and technological handling' was organised by University Institute of Engineering and Technology (UIET), Panjab University on Thursday.The expert speaker was Dr Vimal Bhanot, who retired as professor from Birla institute of Technology and Science (BITS), Pilani. He provided an insight and created awareness regarding the evolution of the corona pandemic situation and the key challenges faced by individuals. He said that all of us, especially youngsters have to come forward and join hands to overcome this Covid-19 situation. The webinar was interactive as participants got to know about various aspects of the virus. The event was coordinated by Dr Amandeep Puri and Dr Puneet Jai Kaur, assistant professors, UIET along with Dr Bhawna Sharma, an associate professor, CSE department, Govt College of Engineering and Technology (GCET), Jammu. The Webinar was attended by 75 participants which included faculty, research scholars and students.",0-Pure
"Offering to hold talks with farmers to clear apprehensions about the farm bills, BJP on Thursday accused Congress of ""double-faced"" politics and said Rahul Gandhi should first disassociate his party from its 2019 election manifesto in which it had promised what the Modi government has done.",0-Pure
"At a press conference, senior BJP leader and agriculture minister Narendra Singh Tomar reiterated the government's commitment to farmers' welfare and said the new measures would bring them remunerative prices for their produce.",0-Pure
"Tomar said the government was open to holding talks with farmers. ""If any farmer wants to speak to any government representative on these bills even at midnight, we are ready,"" he added.",0-Pure
He claimed that opposition members' criticism during debates was never about the provisions of these proposed laws but on things they did not have or other unconnected issues.,0-Pure
"Reacting to the demand that there should be a law to ensure that farmers are not paid less than the minimum support price when the proposed laws come into force, he said MSP was always an administrative decision of the government and would remain so. ""Why did Congress not bring a law during its 50 years of rule if it thinks this was necessary?"" he asked.",0-Pure
"He also cited reports of various commissions and reported views of Sharad Pawar, who was agriculture minister in the UPA government, to assert that the farm bills were in line with their recommendations.",0-Pure
"Asked about Rahul’s charge that the Modi government had harmed farmers and was now doing ""PR"", Tomar said the Congress leader should first withdraw his party's manifesto if he wanted to oppose these bills. If he agreed with the Congress manifesto of the 2019 Lok Sabha elections, then he should join efforts in educating farmers, he added.",0-Pure
"Congress was ""misleading"" farmers and practising ""double-faced"" politics, he said, adding that this would weaken the party and the nation as well.",0-Pure
"Highlighting the Modi government's pro-farmers policies, he said it had given Rs 7 lakh crore to them through purchase of their produce in its six years in office, which was more than double of the UPA's 10 years. Tomar said good people had ceased to matter in Congress, and those leading it had ceased to matter in the country.",0-Pure
"“Farmers, so far, were forced to sell their produce in mandis. In Punjab, there's 8.5% tax in the mandis on several items. Now, through these bills, farmers will be able to sell their produce even outside the ambit of the mandi, even outside their state at any price they choose,” Tomar said.",0-Pure
Metro Railway has decided to run six more trains on the north-south corridor from Monday and extend services by half an hour.,0-Pure
"Metro Railway GM Manoj Joshi said, “We are adding six services to the existing 110 on the north-south line and extending the time up to 7.30pm. Services will start at 8am as usual. Trains will run at intervals of 10 minutes during peak hours (9am-11.30am and 4.30pm-7pm) and 15 minutes for the rest of the day.”",0-Pure
The issue of a proposed multi-storey building project next to the heritage Pratap Vilas Palace was raised in the Parliament on Tuesday.,0-Pure
The railways is planning to accommodate some of its offices in the new building proposed on the lawns right opposite the palace. But the project has met with stiff opposition from many Barodians including the royal Gaekwad family.,1-Septic
Vadodara BJP MP Ranjan Bhatt Bhatt said in the Lok Sabha that the palace was gifted to the railways by the family of Maharaja Sayajirao Gaekwad and it was a heritage building with a large campus around it. She pointed out that the tall building would overshadow the palace and its beauty would be lost forever. She demanded an alternative site should be selected for the project.,0-Pure
"Bhatt shared her speech she made during the zero hour in Lok Sabha on her social media account. Controversy over the new building surfaced in July this year when the Gaekwad family started an online petition against it. MS University chancellor and royal family member, Shubhanginiraje Gaekwad even wrote to railway minister Piyush Goyal urging him to stop building construction.",0-Pure
The railways is reportedly planning to accommodate National Rail and Transportation Institute (NRTI) and other offices in the new building. The royal family suggested that the building can come up on Oval Ground that is in the same premises but away from the palace.,1-Septic
"Isro, while conceding that cyber-attacks are a constant threat, maintains that its systems has not been compromised so far.",0-Pure
"In 2012, a Chinese network based computer attack on the Jet Propulsion Laboratory (JPL), the report points out, “allowed ‘full functional control’ over JPL networks.” The report quotes multiple sources while listing out some of these attacks.",0-Pure
"India, as part of its counter-space capabilities, demonstrated Anti-Satellite (A-Sat) missile technology on March 27, 2019, which equipped India with a ‘kinetic kill’ option to destroy enemy satellites. But the CASI report points to how China has multiple other counter-space technologies that are intended to threaten adversary space systems from ground to geosynchronous orbit (GEO). These include direct-ascent kinetic-kill vehicles (anti-satellite missiles), co-orbital satellites, directed-energy weapons, jammers, and cyber capabilities.",1-Septic
CASI supplements findings of a recent US Pentagon report which had said that the PLA continues to acquire and develop technologies that China could use to “blind and deafen the enemy”.,0-Pure
"Tobby Simon of Synergia Foundation, a strategic think-tank says: “...One of the biggest weaknesses ubiquitous to all satellite systems is use of long range telemetry for communication with base stations. Uplinks and downlinks are quite often transmitted through open telecom security protocols that can be compromised. We have to concede that there are no absolute air gaps in cyber security and as more private companies navigate into the industry, it would be an onerous task for them to invest in active defence.”",0-Pure
"A 2019 report released by the Carnegie Endowment for International Peace said while India demonstrated its A-Sat interceptors, China — which had done the same in 2007 — has capabilities to mount sophisticated cyber-attacks directed at ground stations with the intent of either corrupting or hijacking the systems used to control spacecraft/satellite.",0-Pure
"“China has investments in developing ground, air, and space-based radio frequency jammers that target uplinks, downlinks, and crosslinks involved in either control of space systems or data transmission,” the report reads.",0-Pure
"Isro, multiple insiders said, hasn’t been able to pinpoint sources of cyber-attacks over the years. “Cyber threats are a given but it cannot be ascertained who are behind such attacks. We’ve systems in place to alert us and I don’t think we’ve ever been compromised,” a senior scientist said, adding that “the Chinese may have tried and failed.”",0-Pure
"Isro chairman K Sivan denied any direct knowledge of such an attack on Indian ground stations. “The threat perception is always there and it’s not unique to India. We are secure,” he said.",0-Pure
"The scientist said that India has an independent and isolated network which is not connected to the public domain, including the Internet, which has kept its systems safe.",0-Pure
Uttarakhand on Tuesday evening released the government order for CM Solar Swarozgar Yojana.,0-Pure
"The ambitious project of the state government allows a person to set up a 25 MW solar plant. Through this project, the state government aims to provide job opportunities to over 10,000 youth in the state. An estimated cost of Rs 10 lakh is required for setting up the plant.",1-Septic
"Recently, CM Trivendra Singh Rawat had said that a solar plant will help an individual save Rs 70,000 to Rs 75,000 per annum.",0-Pure
"The arrival plaza being constructed at Jhansi Rani Park will benefit tourists visiting the city as amenities coming up near it have been planned keeping them in mind, said minister for cooperation Sellur K Raju on Tuesday.",0-Pure
"The minister inspected the construction works and instructed officials to complete the work at the earliest. He said that smart city mission projects have been taken up at a cost of around Rs 1,000 crore and all of them will be completed within the specified time.",0-Pure
"Tamil Nadu is the numero uno state in terms of tourist footfalls. The state is forerunning when it comes to creating facilities required for tourists. Totally 10 shops are coming up on the ground floor of the arrival plaza, including shops selling memorabilia.",0-Pure
"On the front, there will be a lawn and seating arrangements. There will be bathing and changing room facility available. Battery operated vehicles will be deployed to facilitate tourists to shuttle between railway junction and Meenakshi Amman temple, the minister said.",0-Pure
He added that two more mini jet rodding machines have been purchased at a total cost of Rs 36.30 lakh.,0-Pure
 The vehicles will be of good help to clear blockages in sewage pipes in smaller streets. Already a jet rodding machine was purchased at the cost of Rs 50 lakh and is put to use.,0-Pure
"The National High Speed Rail Corporation (NHSRCL) on Wednesday opened the bids for first tender entailing investment of around Rs 20,000 crore for construction work for the Ahmedabad-Mumbai bullet train project. All the bidders for this 237 km length of the mainline falling in Gujarat are Indian companies.",0-Pure
NHSRCL said this is one of the biggest tenders covering 47% of the bullet train alignment between Vapi and Vadodara in Gujarat. This work also includes construction of four stations on this corridor.,0-Pure
"According to an official release, three bidders involving seven major infrastructure companies have participated in the competitive bidding. Two of these are consortiums, Afcons Infrastructure– IRCON International–JMC Projects India and NCC–Tata Project-J Kumar Infra Projects, and the company that has put a bid on its own is Larsen and Toubro.",0-Pure
"Officials said the 237 km corridor will cross 24 rivers and 30 road crossings. “This entire section is in Gujarat where more than 83% of the land has been acquired for the project,” the NHSRCL spokesperson said.",0-Pure
TOI on September 6 had reported that there is a high possibility of the government starting operations of the country’s first bullet trains project before next Lok Sabha election at least in the Gujarat portion. The land acquisition has been delayed in Maharashtra. ,1-Septic
"On Wednesday, the railway ministry informed the Rajya Sabha that the delay in land acquisition before March 2020, particularly in Maharashtra, was due to “resistance of local residents at some locations.”",0-Pure
"A major portion of the project corridor – 349 km out of total 508 km – falls in Gujarat. In Maharashtra, barely 23% land has been acquired.",0-Pure
"Bihar CM and JD(U) chief Nitish Kumar on Wednesday asked the party workers, especially ticket seekers, to accept wholeheartedly the decision in selection of candidates for the forthcoming assembly polls due in October-November.",0-Pure
"“Having a desire to contest the election is not a bad idea. Every worker can have such desire. But once the party names a person as the JD(U) or NDA candidate from a particular constituency, every party worker and office-bearer must support that nominee,” Nitish told the ticket seekers at the party’s state headquarters.",0-Pure
"The workers had one-on-one meeting with the party president for around eight hours,” JD(U) state general secretary (headquarters) Navin Kumar Arya told TOI.",0-Pure
Majority of the workers had reached the party office with their biodata and desire to contest the election on the JD(U) symbol.,0-Pure
"A large number of women workers, including former MPs Meena Singh and Ashwamegh Devi, also met Nitish. Manju Verma, who was removed as social welfare minister after her husband’s name cropped up in Muzaffarpur shelter home case, also met Nitish. But Verma did not reveal the reason behind her meeting with the party chief.",0-Pure
"A 28-year-old government employee was taken aback when officials of the bank, where he held an account, came knocking on his door about the loan he had never availed.",0-Pure
This is when he started connecting the dots and realized that a “bank customer care executive” had made him fill an online form in July and the same person could have availed a loan of Rs 4.62 lakh in his name.,1-Septic
"The complainant, who stays in Gokhalenagar, told police that he wanted statement of his account for some personal use. “He then conducted an online search to get the number of his bank and then called on it,” senior inspector Jayram Paygude of the cyber police told TOI.",0-Pure
"The call recipient sent him a link on his cellphone, through which the complainant provided information about his bank account. “He also shared the OTP with the suspect,” he said.",0-Pure
"Former Samajwadi Party (SP) cabinet minister Abhishek Mishra on Wednesday claimed that the state government was trying to sell Lucknow’s Jai Prakash Narayan International Centre (JPNIC), which is considered a dream project of the erstwhile Akhilesh government. He added that the state government was also taking credit of the development work done during the SP regime.",0-Pure
"During his interaction with the press here on Wednesday, Mishra said, “They (state government) are the one who claimed that they will not allow anyone to sell the country, but today they are selling all the strategic assets of the country, including oil and gas resources and even Railways. In UP, they are planning to sell JPNIC, which has been built keeping in mind betterment of the people. I protest and appeal to the government not to sell it,” Mishra said.",0-Pure
"Mishra further said that his main aim to visit Jhansi as well as other places was to “assess the problems being faced by the people due to the inefficiency of the state government and also the requirement of the people so that when the SP government comes to power, we are ready to take up remedial measures without wasting any time”.",0-Pure
"“The BJP is trying to take credit of the development work done during the SP regime. In Jhansi, the medical college had only 120 beds for 50 years. It was under SP regime that we gave it Rs 600 crore along with a 500 bed multi-speciality unit. However, the state government is promoting private practitioners who have made a hub here opposite the medical college,” he claimed.",0-Pure
"He added, “Similarly, there other projects here such as renovation of GIC or the construction of an overhead bridge, which were initiated during the SP rule. This government is only halting the developmental work started by us with no valid reason affecting the common people. Work on the Rs 1,000 crore mega dam project here has been halted on petty issues. Similarly, the Kissan Bazar started by us here as an integrated model for the benefit of the farmers has today lost its real purpose because of the reluctance of the present government.”",0-Pure
Indian hockey team forward Lalit Upadhyay was all-praise for the Belgian attack that imposed a massive 6-1 win against Germany in the FIH Hockey Pro League match on Tuesday.,1-Septic
The League resumed after a six-month hiatus due to the Covid-19 pandemic.,0-Pure
"The Indian team, that had beaten Belgium 2-1 in their first match and lost 3-2 in their second match when they took on the World Champions earlier this year, keenly followed the proceedings of the match.",1-Septic
"All of us had been looking forward for the FIH Hockey Pro League matches to start. Although we were hoping for a close game, it turned out to be quite one-sided. ",0-Pure
"The German side struggled against their opponent's attack and Belgium's success inside the circle was very impressive, Upadhyay, who is part of the on-going National Coaching Camp in SAI, Bengaluru, said in a Hockey India release.",1-Septic
He further said that there was a lot to pick-up from the match between the two European powerhouses.,0-Pure
All six goals for Belgium came from six different goal-scorers. There is a lot to pick up from and analyse from this match. ,0-Pure
"The loopholes in Germany's defence are also something we can learn from as to what not to do against a team like Belgium, stated Upadhyay.",0-Pure
"The experienced forward pointed out that the Indian team is currently working towards achieving their earlier form and fitness, which has been the top priority in the on-going camp.",0-Pure
"We were able to resume activities because of the early measures taken by Hockey India who ensured a Hockey SOP was in place as early as April. We were all briefed on guidelines to follow once the National Camp would begin so in that sense, resuming activities was smooth. Now our top priority is to hit the same fitness levels we were at earlier this year. Something that Germany seemed to struggle yesterday was with their speed and fitness so when we get back to competitive hockey that should not be the case with us, he said.",0-Pure
"While the Indian side has been training in a bio-secure environment at the SAI Centre Bangalore with zero contact from the outside world, Upadhyay is hopeful India can return to competitive hockey soon.",0-Pure
"We know Hockey India and the coaching staff have put together a plan for us to resume competitive hockey. We are hopeful that we can hit good form before that. Our intensity in National Camp will increase October onwards and we are moving in the right direction and are prepared for any scenarios, Upadhyay said.",0-Pure
"Being a professional athlete, Indian men's hockey team striker Mandeep Singh has been through many tough situations during his career, but by his own admission, the time spent while recovering from Covid-19 has been the most ""stressful"" one.",1-Septic
"Mandeep is one of the six hockey players of India's senior men's team, including skipper Manpreet Singh, who had tested positive for Covid-19 at the team's training base here last month after they arrived for the national camp.",0-Pure
"In fact, Mandeep was the first player to be admitted in the hospital here. Since then, all the six players have recovered and started their individual training sessions.",0-Pure
"I think we had read and heard so much about the pandemic being a deadly disease, the first few days were stressful and anxious after testing positive for the virus.Although I have been in some of the most difficult match-situations as a professional hockey player, I had never felt this stressed,"" Mandeep said in a Hockey India release.",0-Pure
"I was never (before) taken away in an ambulance, never been seriously injured either. So this phase was a new experience for me. After recovering, they (Hockey India) even gave us an option to return home to take a break if we felt like it, but we wanted to stay back and rejoin the rest of the group, said the forward, who scored maximum goals for India in 2019 season.",1-Septic
The 25-year-old hailed the team management for their help and support during their recovery phase from the deadly virus.,0-Pure
"We have a very good trainer in Robin Arkel and he knows exactly how much to push us. We are taking only 50-60 per cent of the regular workload at the moment and have just one session per day, Mandeep said.",0-Pure
Chief coach Graham Reid is also constantly monitoring how we feel during a session. It feels good to be back with the rest of the group and I feel relieved to be fine and recovered fully.,0-Pure
"With the FIH Pro League restarting from Tuesday, Mandeep said it feels great to witness the resumption of sporting activities around the world.",0-Pure
Midfielder Nikki Pradhan has stated the present experienced midfielders group will hold the key for the Indian women's hockey team at the big tournaments in the upcoming years.,0-Pure
"We are very lucky to have so many midfielders in the Indian team, who have already played 100 matches for the national side, said Pradhan.",0-Pure
"Experience is a huge factor when it comes to big tournaments like the Olympics; and if we play at our hundred per cent, then we can win against any team. Experience teaches one to be calm and think clearly under pressure, and therefore our experienced midfielders' group will be the key to our success in the upcoming years, she added.",0-Pure
Experienced midfielders will be key to Indian women's hockey team's success: Nikki Pradhan.,0-Pure
"We are very lucky to have so many midfielders in the Indian team, who have already played 100 matches for the national side, said Pradhan.",0-Pure
Equal opportunities and a good junior program has helped women's hockey team: Rani,0-Pure
"Pradhan has been part of many memorable moments for the national side, which includes the gold medal win at the Women's Asia Cup 2017, victory at the FIH Women's Series Finals 2019 and booking a place at the Tokyo Olympics after defeating USA in the Olympic Qualifiers last year.",1-Septic
"The 26-year-old, who became the first woman hockey player from Jharkhand to represent India in the Olympics in 2016, also spoke about her experience at the quadrennial event.",0-Pure
"
The 35-year-old signed from Spanish Segunda (second) Division side Alcorcon, becoming the sixth new foreign signing for the club this season.I am very happy and excited to sign for this club. It is a new challenge in my career and I am eager to arrive in India start training with my new teammates,"" said Sandaza.",0-Pure
"The Indian Super League is improving every year. A lot of good players have played in the league so far. I have played with and against a few of them that have told me good things about the ISL, so I am keen to be part of it.",0-Pure
"Fran Sandaza is a very known striker in Spain. He is a strong and a technically gifted player and he has experienced football at various levels in Spain, the UK, Japan and China. He is a complete forward who likes to score goals and create chances for his teammates, said Manolo.",0-Pure
"My aim is to work hard to try and contribute as many goals for the team. It's going to be a challenging season and I will give my one hundred percent every time I am on the pitch, Sandaza said.",0-Pure
Six players from Indian Super League (ISL) clubs have tested positive for Covid-19 before they were to enter the bio-secure bubble in Goa.,0-Pure
"The players are from defending champions ATK Mohun Bagan, league champions FC Goa and Hyderabad FC. Two of the players have now recovered, according to the clubs, while the other four are isolating themselves at home.",0-Pure
"According to ISL regulations, any player who tests positive for Covid-19 has to isolate himself for 14 days in accordance with the local government guidelines. ",0-Pure
"He will then mandatorily undertake three tests - Day 10, Day 12 and Day 14 – and only travel to Goa if he has two negative results from Day 12 and 14.",0-Pure
"“One player tested positive for Covid-19 when he had gone to the hospital for a test. He had conducted two previous tests, both negative, but the third test turned out to be positive,” a source who has been tracking the development told TOI.",0-Pure
"Players in Kerala will travel by bus to Goa for pre-season, while others have to take a flight. There are separate isolation rules for those traveling by bus and flight to Goa.",0-Pure
The 28-year-old versatile midfielder follows the likes of Roy Krishna and David Williams in joining the Kolkata giants from the A-League.,0-Pure
"Two-time champions Chennaiyin FC has signed up Bosnia and Herzegovina center-back Enes Sipovic for the 2020-21 Indian Super League season, the club announced on Monday.",0-Pure
"According to a statement issued by the franchise, Sipovic is CFC's third signing ahead of the upcoming season, following the arrival of Indian full-backs Reagan Singh and Chhuantea Fanai recently.",0-Pure
"Sipovic, who just turned 30 last week and will be the first Bosnian to feature in the ISL, is excited about playing in India and is looking forward to joining the ranks of new CFC head coach Csaba László.",1-Septic
"I was instinctive that India will be my next destination. I am very happy to be part of such a beautiful club. I have been following Chennaiyin since its very first season in 2014 under Marco Materazzi, and I am aware that it is a team that has a tremendous fan base and is incredibly successful, said Sipovic from the Bosnian capital city of Sarajevo, his hometown.",0-Pure
